ARTIST NAME,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS,,,,,
Afro,Italian,1912,1976,Sleeping Woman,1948,Watercolor and oil on paper,1991.402.1,1991,Not on view,,,,,
Afro,Italian,1912,1976,Untitled,1952,Oil on canvas,"1,993.499",1993,Not on view,,,,,
Agnes Denes,American,1931,Null,"Study of Distortions; Isometric Systems in Isotropic Space, Map Projections: The Cube",1978,Watercolor/ gouache and ink on graph paper and mylar,1983.501.3,1983,Not on view,,,,,
Agnes Denes,American,1931,Null,"Isometric Systems in Isotropic Space, Map Projections: The Pyramid",1980,Ink/ gouache and metallic paint on mylar and paper,2001.434.5,2001,Not on view,,,,,
Agnes Denes,American,1931,Null,Isometric Systems in Isotropic Space: Map Projections: The Doughnut (tangent torus,1980,Ink/ gouache and metallic paint on mylar and paper,2001.434.6,2001,Not on view,,,,,
Agnes Martin,American,1912,2004,Untitled # 9,1984,Acrylic/ India ink/ and graphite on canvas,"1,984.435",1984,On view in Gallery 915,,,,,
Al Held,American,1928,2005,Mercury Zone III,1975,Acrylic on canvas,"1,976.21",1976,On view in Gallery 915,,,,,
Al Held,American,1928,2005,Taxi Cab III,1959,Acrylic on paper/ mounted on canvas,"1,987.156",1987,Not on view,,,,,
Al Held,American,1928,2005,Greek Garden,1966,Acrylic on canvas,1987.154a-h,1987,Not on view,,,,,
Al Loving,American,1935,2005,Untitled,1971,Acrylic on three joined canvases,2011.590.3,2011,Not on view,,,,,
Alan Reynolds,British,1926,Null,River Bed Polyphony,1953,Oil on canvas board,68.188,1968,Not on view,,,,,
Alan Shields,American,1944,2005,Flag of Hudson Avenue No.2,1976,Acrylic and thread on canvas,"1,984.291",1984,Not on view,,,,,
Alan Sonfist,American,1946,Null,Landscape of the Sky,1968,Resin and charcoal on canvas,1987.458.1,1987,Not on view,,,,,
Alan Sonfist,American,1946,Null,Landscape of the Earth,1969,Resin and charcoal on canvas,1987.458.2,1987,Not on view,,,,,
Albert André,French,1869,1954,The Masons,1926,Oil on canvas,67.187.50,1967,Not on view,,,,,
Albert Eugene Gallatin,American,1881,1952,Parallel Forms II,1941,Oil on canvas,52.174,1952,Not on view,,,,,
Albert Eugene Gallatin,American,1881,1952,Number 28 (Still Life,1940,Oil on canvas,1985.440.2,1985,Not on view,,,,,
Albert Gleizes,French,1881,1953,Street Scene in Bermuda,1917,Oil and watercolor on cardboard,64.27.14,1964,Not on view,,,,,
Albert Marquet,French,1875,1947,The Pont Neuf/ ,1935,Oil on canvas,66.5,1966,Not on view,,,,,
Albert Marquet,French,1875,1947,Vase de Fleurs,1941,Oil on wood,1976.201.32,1976,Not on view,,,,,
Albert Marquet,French,1875,1947,View from a Balcony,1945,Oil on canvas,1998.412.2,1998,Not on view,,,,,
Alberto Giacometti,Swiss,1901,1966,Annette,1961,Oil on canvas,1999.363.26,1999,On view in Gallery 907,,,,,
Alberto Giacometti,Swiss,1901,1966,Still Life with an Apple,1937,Oil on canvas,2002.456.3,2002,Not on view,,,,,
Aldro T Hibbard,American,1886,1972,Hills of Vermont,1922,Oil on canvas,23.256.2,1923,Not on view,,,,,
Alejandro Arango,Mexican,1950,Null,Invocation,1988,Oil on canvas,1990.26.1,1990,Not on view,,,,,
Alex Katz,American,1927,Null,Black and Brown Blouse,1976,Oil on canvas,"1,978.9",1978,On view in Gallery 915,,,,,
Alex Katz,American,1927,Null,Philip Pearlstein (1924-),1978,Oil on aluminum cutout painted front and back,1979.213.1,1979,Not on view,,,,,
Alex Katz,American,1927,Null,Study for Philip Pearlstein (1924,1978,Oil on aluminum cutout,1979.213.2,1979,Not on view,,,,,
Alex Katz,American,1927,Null,Face of a Poet,1972,Oil on canvas,"1,986.363",1986,Not on view,,,,,
Alex Katz,American,1927,Null,Gold Earrings,1955,Tempera on Masonite,"1,991.106",1991,Not on view,,,,,
Alexander Benois,Russian,1870,1960,City Scene (Stage Design),Null,Watercolor/ gouache/ ink and graphite on paper,2007.49.20,2007,Not on view,,,,,
Alexander Brook,American,1898,1980,My Son Sandy,1932,Oil on canvas,33.106,1933,Not on view,,,,,
Alexander Brook,American,1898,1980,Jane Bouché,1934,Oil on canvas,"1,992.206",1992,Not on view,,,,,
Alexander Liberman,American,1912,1999,Blue Dominants,1959,Oil on canvas,1975.424.1,1975,Not on view,,,,,
Alexander Liberman,American,1912,1999,Two Circles,1950,Enamel on Masonite,"1,993.452",1993,Not on view,,,,,
Alfonso Ossorio,American,1916,1990,Conflict,1956,Oil on Masonite,58.24,1958,Not on view,,,,,
Alfred Kubin,Austrian,1877,1959,The Bridegroom,1903,Watercolor/ gouache/ ink/ and charcoal on paper,1984.433.210,1984,Not on view,,,,,
Alfred Leslie,American,1927,Null,The Lady's Flowers,1953,Oil and newspaper on canvas,2006.32.37,2006,Not on view,,,,,
Alfred Levitt,American,1894,2000,The Beach,1939,Oil on cardboard,1985.234.1,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Old Fisherman,1946,Ink/ gouache and graphite on paper,1985.234.10,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Fisherman's Harbor,1946,Watercolor/ gouache/ and ink on paper,1985.234.11,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Nude and Net,1946,Watercolor/ gouache/ and ink on paper,1985.234.13,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Nude and Net,1946,Watercolor/ gouache/ and ink on paper,1985.234.13,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Sunset in Gloucester,1945,Watercolor/ gouache/ ink and graphite on paper,1985.234.15,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Waterlilies,1946,Watercolor and gouache on paper,1985.234.16,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,The Lighthouse,1947,Watercolor and gouache on paper,1985.234.17,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Sailboats,1946,Watercolor and gouache on paper,1985.234.18,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Space Invasion,1950,Watercolor/ gouache/ and ink on paper,1985.234.19,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Bathers,1939,Gouache and watercolor on paper,1985.234.2,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Dream Catch,1951,Watercolor and gouache on paper,1985.234.20,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Cosmos,1945,Watercolor/ gouache/ and ink on paper,1985.234.4,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Fisherman in Gloucester,1945,Watercolor/ gouache/ and ink on paper,1985.234.5,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Gloucester Dock,1948,Watercolor/ gouache and graphite on paper,1985.234.6,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,The Hall,1945,Watercolor/ gouache/ ink and graphite on paper,1985.234.7,1985,Not on view,,,,,
Alfred Levitt,American,1894,2000,Street in Gloucester,1945,Watercolor/ gouache/ and ink on paper,1985.234.9,1985,Not on view,,,,,
Alfred Maurer,American,1868,1932,Still Life with Fish,1927,Oil on canvas,55.1,1955,Not on view,,,,,
Alfred Maurer,American,1868,1932,Head,1928,Oil on plasterboard,57.74a/ b,1957,Not on view,,,,,
Alfred Maurer,American,1868,1932,Abstraction,1925,Gouache on paper/ mounted on board,"1,988.222",1988,Not on view,,,,,
Alfred Munnings,British,1878,1959,Two Race Horses Walking Down Past the Post,1935,Oil on canvas,1976.201.21,1976,Not on view,,,,,
Algernon Newton RA,British,1880,1968,Stormy Sunset on the East Coast,1939,Oil on canvas,"2,011.4",2011,Not on view,,,,,
Alice Baber,American,1928,1982,The Path of the Grey Falcon of the Dawn,1979,Oil on canvas,"1,980.314",1980,Not on view,,,,,
Alice Baber,American,1928,1982,The Path of the Grey Falcon of the Dawn,1979,Oil on canvas,"1,980.314",1980,Not on view,,,,,
Alice Dalton Brown,American,1939,Null,Small Golden Corner,1988,Oil on canvas,"2,000.12",2000,Not on view,,,,,
Alice Neel,American,1900,1984,Henry Geldzahler,1967,Oil on canvas,"1,981.407",1981,Not on view,,,,,
Alice Neel,American,1900,1984,Lida Moser,1963,Oil on canvas,"1,986.401",1986,Not on view,,,,,
Alice Neel,American,1900,1984,Elenka,1936,Oil on canvas,"1,987.376",1987,Not on view,,,,,
Alice Neel,American,1900,1984,Arthur Bullowa,1967,Oil on canvas,1994.35.1,1994,Not on view,,,,,
Alice Neel,American,1900,1984,Portrait of Richard Bagley,1946,Oil on canvas,"2,014.456",2014,On view in Gallery 913,,,,,
Alice Trumbull Mason,American,1904,1971,Latitude of Identical Shapes,1945,Oil on wood,1976.418.1,1976,Not on view,,,,,
Allan d' Arcangelo,American,1930,1998,SSO,1986,Acrylic on canvas,"1,990.72",1990,Not on view,,,,,
Alma Thomas,American,1895,1978,Red Roses Sonata,1972,Acrylic on canvas,"1,976.94",1976,Not on view,,,,,
Altoon Sultan,American,1948,Null,Heifers/ Pawlet/ Vermont,1987,Oil on canvas,"1,988.59",1988,Not on view,,,,,
Amedeo Modigliani,Italian,1884,1920,The Italian Woman,1917,Oil on canvas,56.4,1956,Not on view,,,,,
Amedeo Modigliani,Italian,1884,1920,Jeanne Hébuterne (1898-1920),1919,Oil on canvas,56.184.2,1956,Not on view,,,,,
Amedeo Modigliani,Italian,1884,1920,Girl in a Sailor's Blouse,1918,Oil on canvas,60.118,1960,Not on view,,,,,
Amedeo Modigliani,Italian,1884,1920,Lola de Valence,1915,Oil on paper/ mounted on wood,67.187.84,1967,On view in Gallery 911,,,,,
Amedeo Modigliani,Italian,1884,1920,Juan Gris (1887-1927),1915,Oil on canvas,67.187.85,1967,Not on view,,,,,
Amedeo Modigliani,Italian,1884,1920,Flower Vendor,1919,Oil on canvas,1996.403.9,1996,Not on view,,,,,
Amedeo Modigliani,Italian,1884,1920,Reclining Nude,1917,Oil on canvas,1997.149.9,1997,On view in Gallery 913,,,,,
Amedeo Modigliani,Italian,1884,1920,Reclining Nude,1917,Oil on canvas,1997.149.9,1997,On view in Gallery 913,,,,,
Amedeo Modigliani,Italian,1884,1920,Boy in a Striped Sweater,1918,Oil on canvas,1999.363.56,1999,Not on view,,,,,
Amy Bennett,American,1977,Null,Diagnosis,2010,Oil on panel,2011.601.1,2011,Not on view,,,,,
Amy Bennett,American,1977,Null,Hypochondriac,2010,Oil on panel,2011.601.2,2011,Not on view,,,,,
Amy Weiskopf,American,1957,Null,Still Life with a Clock,1986,Oil on canvas,1991.175.8,1991,Not on view,,,,,
Ana Mendieta,American,1948,1985,Amategram Series: The Vivification of the Flesh,1981,Gouache and acrylic on bark paper,1983.502.1,1983,Not on view,,,,,
Ana Mendieta,American,1948,1985,Amategram Series: Mother Jungle,1981,Gouache and acrylic on bark paper,1983.502.2,1983,Not on view,,,,,
Ana Mendieta,American,1948,1985,Amategram Series: Labyrinth of Venus,1981,Gouache and acrylic on bark paper,1983.502.3,1983,Not on view,,,,,
Anatjari Tjakamarra,Australian,1930,1992,Tingari Cycle Dreaming at Paratjakutti,1989,Acrylic on canvas,"1,989.315",1989,Not on view,,,,,
André Derain,French,1880,1954,The Table,1911,Oil on canvas,54.79,1954,Not on view,,,,,
André Derain,French,1880,1954,Pitcher and Dishes,1912,Oil on canvas,64.27.15,1964,Not on view,,,,,
André Derain,French,1880,1954,Rita van Leer,1928,Oil on canvas,67.187.63,1967,Not on view,,,,,
André Derain,French,1880,1954,Lucien Gilbert,1905,Oil on canvas,"1,975.169",1975,On view in Gallery 830,,,,,
André Derain,French,1880,1954,Fishing Boats/ Collioure,1905,Oil on canvas,1982.179.29,1982,On view in Gallery 830,,,,,
André Derain,French,1880,1954,Nude,1923,Oil on canvas,1984.433.10,1984,Not on view,,,,,
André Derain,French,1880,1954,Landscape: Camiers,1911,Oil on canvas,1984.433.9,1984,Not on view,,,,,
André Derain,French,1880,1954,Moïse Kisling (1891-1953),1921,Oil on canvas,1993.89.1,1993,Not on view,,,,,
André Derain,French,1880,1954,Dikran G. Kelekian (1868-1951),1924,Oil on plywood,"1,999.5",1999,Not on view,,,,,
André Derain,French,1880,1954,Regent Street/ London,1906,Oil on canvas,1999.363.18,1999,On view in Gallery 904,,,,,
André Derain,French,1880,1954,The Black Feather Boa,1935,Oil on canvas,2002.456.10,2002,Not on view,,,,,
André Derain,French,1880,1954,The Artist in his Studio,1920,Gouache on paper,2002.456.25,2002,Not on view,,,,,
André Derain,French,1880,1954,The Sunken Path/ L'Estaque,1906,Oil on canvas,"2,003.253",2003,Not on view,,,,,
André Derain,French,1880,1954,Plate of Peaches,1907,Oil on canvas,2007.332.2,2007,Not on view,,,,,
André-Dunoyer de Segonzac,French,1884,1974,Model Dressing,1912,Oil on canvas,67.187.100,1967,Not on view,,,,,
Andrée Ruellan,American,1905,2006,Market Place,1939,Oil on canvas,40.83,1940,Not on view,,,,,
Andrew Gadd,British,1968,Null,Ducati Pitstop Composition,1993,Tempera and gouache on paper,"1,994.223",1994,Not on view,,,,,
Andrew Michael Dasburg,American,1887,1979,Road to Lamy/ New Mexico,1923,Oil on canvas,51.19,1951,Not on view,,,,,
Andrew Michael Dasburg,American,1887,1979,Ducks,1927,Oil on canvas,52.205.1,1952,Not on view,,,,,
Andrew Moszynski,British,1948,Null,Split,1984,Ink and oil crayon on paper,"1,984.406",1984,Not on view,,,,,
Andrew Moszynski,British,1948,Null,Fold Site,1984,Ink and oil crayon on paper,"1,984.407",1984,Not on view,,,,,
Andrew Spence,American,1947,Null,Car Racks,1988,Oil on canvas/ mounted on wood,"1,988.435",1988,Not on view,,,,,
Andrew Spence,American,1947,Null,Car Racks,1988,Oil on canvas/ mounted on wood,"1,988.435",1988,Not on view,,,,,
Andrew Spence,American,1947,Null,China,1991,Oil on canvas,1995.437ab,1995,Not on view,,,,,
Andrew Wyeth,American,1917,2009,A Crow Flew By,1949,Egg tempera on wood,50.46.2,1950,Not on view,,,,,
Andrew Wyeth,American,1917,2009,Grape Wine,1966,Tempera on Masonite,67.61,1967,Not on view,,,,,
Andy Warhol,American,1928,1987,Mona Lisa,1963,Acrylic and silkscreen on canvas,65.273,1965,Not on view,,,,,
Andy Warhol,American,1928,1987,Mao,1972,Acrylic and silkscreen on canvas,1977.226.9,1977,Not on view,,,,,
Andy Warhol,American,1928,1987,Flowers,1967,Acrylic and silkscreen enamel on canvas,"1,979.549",1979,Not on view,,,,,
Andy Warhol,American,1928,1987,Kimiko Powers,1972,Acrylic and silkscreen on canvas,1980.288ab,1980,Not on view,,,,,
Andy Warhol,American,1928,1987,Before and After I,1961,Casein on canvas,1981.536.1,1981,On view in Gallery 924,,,,,
Andy Warhol,American,1928,1987,Skull,1977,Acrylic and silkscreen on canvas,1981.536.2,1981,Not on view,,,,,
Andy Warhol,American,1928,1987,Dr. Scholl's Corns,1961,Casein and wax crayon on canvas,"1,982.505",1982,On view in Gallery 924,,,,,
Andy Warhol,American,1928,1987,Mao,1973,Acrylic and silkscreen on canvas,1983.606.1,1983,Not on view,,,,,
Andy Warhol,American,1928,1987,Nine Jackies,1964,Acrylic and silkscreen on canvas,1983.606.14-22,1983,Not on view,,,,,
Andy Warhol,American,1928,1987,Mao,1973,Acrylic and silkscreen on canvas,1983.606.2-13,1983,Not on view,,,,,
Andy Warhol,American,1928,1987,Flowers,1967,Acrylic and silkscreen enamel on canvas,"1,985.426",1985,Not on view,,,,,
Andy Warhol,American,1928,1987,Still Life,1976,Acrylic and silkscreen on canvas,"1,986.402",1986,Not on view,,,,,
Andy Warhol,American,1928,1987,Self-Portrait,1986,Acrylic and silkscreen on canvas,"1,987.88",1987,Not on view,,,,,
Andy Warhol,American,1928,1987,Man,1960,Gouache wash and graphite on paper,"1,995.286",1995,Not on view,,,,,
Andy Warhol,American,1928,1987,Ethel Scull 36 Times,1963,Acrylic and silkscreen on canvas,2001.614a-j,2001,Not on view,,,,,
Andy Warhol,American,1928,1987,Portrait of Stephen Mazoh,1974,Acrylic and silkscreen on canvas,2004.224.1,2004,Not on view,,,,,
Andy Warhol,American,1928,1987,Portrait of Stephen Mazoh,1974,Acrylic and silkscreen on canvas,2004.224.2,2004,Not on view,,,,,
Andy Warhol,American,1928,1987,Milan Hollow Farm,1977,Acrylic and silkscreen on canvas,2004.224.3,2004,Not on view,,,,,
Angelo Ippolito,American,1922,2001,Regatta No. 6,1986,Oil on canvas,1988.235.1,1988,Not on view,,,,,
Anne Peretz,American,1938,Null,Gabel Mukaber Village Sketch,2000,Oil on canvas,"2,001.684",2001,Not on view,,,,,
Anne Ryan,American,1889,1954,Number 14,1948,Oil on canvas,1986.323.1,1986,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Sick Art,1974,Watercolor/ gouache/ and ballpoint pen on paper,1995.14.10,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Not Yet,1974,Watercolor,1995.14.12,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Heaven on Earth,1974,Watercolor/ gouache/ and ballpoint pen on paper,1995.14.13,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Heaven on Earth,1974,Watercolor/ gouache/ and ballpoint pen on paper,1995.14.13,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,My Father Pledged Me a Sword,1974,Watercolor/ gouache/ and ballpoint pen on paper,1995.14.14,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,My Father Pledged Me a Sword,1975,Watercolor/ gouache/ colored pencil/ and ballpoint pen on paper,1995.14.15,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Essence/Ex-sistence,1975,Watercolor and gouache on paper,1995.14.17,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Essence/Ex-sistence,1975,Watercolor and gouache on paper,1995.14.17,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,The Moon Has Risen,1971,Watercolor and gouache on paper,1995.14.18,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,German Lineages of Salvation,1975,Watercolor/ gouache/ and ballpoint pen on paper,1995.14.19,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Heroic Symbols,1969,Watercolor and gouache on paper,1995.14.1ab,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Untitled (Heroic Symbols,1969,Watercolor/ gouache/ and charcoal on paper,1995.14.2,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Virginia Woolf,1975,Watercolor/ gouache/ and graphite on paper,1995.14.20ab,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Herzeleide,1979,Watercolor/ gouache/ and graphite on paper,1995.14.25,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Horror Vacui,1980,Watercolor/ gouache/ acrylic/ and graphite on paper,1995.14.26,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Horror Vacui,1980,Watercolor/ gouache/ acrylic/ and graphite on paper,1995.14.26,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Aaron,1980,Watercolor/ gouache/ and graphite on paper,1995.14.27,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Iconoclastic Controversy,1980,Gouache and ink on photograph,1995.14.29,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Iconoclastic Controversy,1980,Gouache and ink on photograph,1995.14.29,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Brünnhilde Sleeps,1980,Acrylic and gouache on photograph,1995.14.30,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,The Kyffhäuser,1980,Acrylic/ gouache/ graphite/ and watercolor on photograph,1995.14.31,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Broken Flowers and Grass,1980,Gouache/ acrylic/ watercolor/ and shellac on photograph,1995.14.32,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Midsummer Night,1980,Gouache and acrylic on cut and pasted photographs,1995.14.33,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Ride to the Vistula,1980,Watercolor/ gouache/ and acrylic on paper,1995.14.34,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Siegfried's Difficult Way to Brünnhilde,1980,Acrylic and gouache on photograph,1995.14.35,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Yggdrasil,1980,Gouache and acrylic on photograph,1995.14.36,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Big Iron Fist/ Germany,1980,Gouache and acrylic on photograph,1995.14.37,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Autumn Forest,1970,Watercolor/ gouache/ and graphite on paper,1995.14.3ab,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Everyone Stands Under His Own Dome of Heaven,1970,Watercolor/ gouache/ and graphite on joined paper,1995.14.4,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Yggdrasil,1985,Gouache and shellac on torn and pasted photographs,1995.14.42,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Winter Landscape,1970,Watercolor/ gouache/ and graphite on paper,1995.14.5,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Send Forth your Spirit,1974,Watercolor/ gouache/ ink/ ballpoint pen/ and colored pencil on paper,1995.14.6,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Reservoir,1971,Watercolor/ gouache/ and graphite on paper,1995.14.7,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,On Every Mountain Peak There Is Peace,1971,Watercolor and gouache on paper,1995.14.8,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Stefan!,1974,Watercolor/ gouache/ colored pencil/ and ballpoint pen on paper,1995.14.9,1995,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Bohemia Lies by the Sea,1996,Oil/ emulsion/ shellac/ charcoal/ and powdered paint on burlap,1997.4ab,1997,On view in Gallery 915,,,,,
Anselm Kiefer,German,1945,Null,Man Lying with Branch,1971,Watercolor/ gouache/ and graphite on paper,2000.96.1,2000,Not on view,,,,,
Anselm Kiefer,German,1945,Null,A Ship Will Come,1974,Watercolor/ gouache/ and ballpoint pen on paper,2000.96.2,2000,Not on view,,,,,
Anselm Kiefer,German,1945,Null,From Oscar Wilde,1974,Watercolor and gouache on paper,2000.96.3,2000,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Saint Eustace,1974,Watercolor/ gouache/ and colored pencil on paper,2000.96.4,2000,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Broken Flowers and Grass,1979,Watercolor/ gouache/ acrylic/ and graphite on paper,2000.96.6,2000,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Your Golden Hair/ Margarete,1980,Watercolor/ gouache/ and acrylic on paper,2000.96.7,2000,Not on view,,,,,
Anselm Kiefer,German,1945,Null,The Unknown Masterpiece,1982,Watercolor/ gouache/ graphite/ cut and pasted printed papers on paper,2000.96.8,2000,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Let a Thousand Flowers Bloom,2000,Gouache/ sand/ ash and charcoal on two torn and pasted  photographs,"2,001.557",2001,Not on view,,,,,
Anselm Kiefer,German,1945,Null,Morgenthau Plan,2012,Acrylic/ emulsion/ oil/ and shellac on inkjet prints mounted on canvas,2013.429a-c,2013,Not on view,,,,,
Anthony Green,British,1939,Null,Mrs. Madeline Joscelyne with Her Son,1987,Watercolor/ oil pastel and graphite on paper/ pasted on cardboard,"1,988.32",1988,Not on view,,,,,
Anthony Viti,American,1961,Null,Elegy Number 9 (After MH's Iron Cross,1992,Oil on Masonite,1993.117.1,1993,Not on view,,,,,
Anthony Viti,American,1961,Null,Elegy Number 12 (After MH's Iron Cross,1992,Oil on Masonite,1993.117.2,1993,Not on view,,,,,
Anthony Viti,American,1961,Null,Elegy Number 21 (After MH's Iron Cross,1992,Oil on Masonite,1993.117.3,1993,Not on view,,,,,
