Bert L. Long/ Jr.,(American/ born 1940),Van Gogh,1987,1989.14a-i,N,
Herzl Emanuel,(American/ 1914–2002),Spain, 1936–37,43.45.2,N,
Lucas Samaras,(American (born Greece)/ Kastoria/ 1936),Untitled (Spoon),1961,2014.40.5,N,
Henry Moore,(British/ Castleford 1898–1986 Much Hadham),Two Forms,1934,1982.500,912,
Gerhard Henning,(Danish/ 1880–1967),Fairy Tale,1921,23.114.3,N,
Ibram Lassaw,(American (born Egypt)/ Alexandria 1913–2003 East Hampton/ New York),Monoceros,1952,2006.32.35,N,
Mike Kelley,(American/ Wayne/ Michigan 1954–2012 South Pasadena/ California),Hibernating Egg: Postoperative State,1994,1995.42g,N,
Rachel Whiteread,(British/ born 1963),Untitled (Pair),1999,2001.725a/b,N,
Juan Hamilton,(American/ born Dallas/ Texas/ 1945),Curve and Shadow/ No. 2,1983,1983.540.1,N,
Robert Arneson,(American/ Benica/ California 1930–1992 Benica/ California),Ground Zero,1983,1992.212a-e,N,
Gaston Lachaise,(American (born France) 1882–1935),The Mountain,1913;  carved 1919,1984.433.29,N,
Hal Reed,(American/  Frederick/ Oklahoma/ 1921),Medal,1970,1971.127.1/2,N,
Elie Nadelman,(American (born Poland)/ Warsaw 1882–1946 Riverdale/ New York),Standing Nude, 1935–46,1970.127.2,N,
Martin Kline,(American/ born Norwalk/ Ohio 1961),Totem,2004,2007.443a/ b,N,
Isamu Noguchi,(American/ Los Angeles/ California 1904–1988 New York),Kouros,1945,53.87a-i,920,
William King,(American/ born 1925),Progress,1978,1982.23,N,
Umberto Mastroianni,(Italian/ 1910–1988),Palma di Cesnola (1832-1904),1971,1972.21,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),James F. Ballard,1925–26; cast 1927,27.147,774,
Jean Arp,(French (born Germany)/ Strasbourg 1886–1966 Basel),Seuil-Configuration,1959,1971.279,N,
Archimede Seguso,(Italian/ Murano 1909–1999 Murano),Snail,1949,49.152,N,
John Gregory,(American (born England)/ London 1879–1958 New York),Philomela,1919–21/ cast 1922,23.106.2,774,
Jo Davidson,(American/ 1883–1952),Marshal Ferdinand Foch,1918,50.145.41,774,
Robert Irwin,(American/ born Long Beach/ California 1928),So. Cal,2010,2011.411a-z,N,
Melvin Edwards,(American/ born 1937),Utonga,1988,1991.71,N,
Walter Dusenbery,(American/ born 1939),Pedogna,1977,1979.300a-h,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),Dryad,1913; cast probably 1916–17,52.126.5,774,
Michael Lucero,(American/ born 1953),White House Dreamer,1983,1983.587,N,
F Ziegler,(American),The Centenary of the First Ovariotomy/ performed by Dr. Ephraim McDowell,1909,09.113,N,
Edward Marshall Boehm,(American/ Baltimore/ Maryland 1912–1969),Boehm bird,1940s,1975.432.4,N,
Jill Levine,(American/ born 1953),Fistabust,1987,1988.57,N,
Hugo Robus,(American/ 1885–1964),Girl Washing Her Hair,1933; reduction / 1959 ; cast  1976,1997.321,N,
Kai Nielsen,(Danish/ Svendborg 1882–1924 Frederiksberg),Triton,1924,2012.407.1,N,
Jacques Lipchitz,(American (born Lithuania)/ Druskininkai 1891–1973 Capri),Seated Man (Meditation),1925,2006.32.38,N,
Ursula Morley-Price,(British/ born London/ 1936),Pom Pom Form,1983–88,1998.285.1,N,
Marino Marini,(Italian/ Pistoia 1901–1980 Viareggio),Samuel Barber,1949,1983.79.2,N,
Arthur Graham Carey,(American/ born 1892),The Tercentenary of Harvard University/ 1636-1936,1936,36.151.1/2,N,
Nancy Fried,(American/ born 1945),The Mask,1988,1988.343,N,
Mahonri Mackintosh Young,(American/ Salt Lake City/ Utah 1877–1957 Norwalk/ Connecticut),Stevedore,1904/ cast by 1914,14.27,774,
Isamu Noguchi,(American/ Los Angeles/ California 1904–1988 New York),Unidentified Object,1979,1981.131,On view on Fifth Avenue,
G. Herald,(Danish),Statuette,first quarter 20th century,22.227.4,N,
Dennis Evans,(American/ born 1946),Box,1978,1987.331.1,N,
Dorothy Doughty,(British/ 1893–1963),Bird (female chickadee),1938,60.180.8,N,
French/ 19th Century, ,Bell, 1901,1984.433.40,N,
Umberto Boccioni,(Italian/ Reggio 1882–1916 Sorte),Development of a Bottle in Space,1913,1990.38.2,908,
Dorothy Doughty,(British/ 1893–1963),Bird (female cardinal),1937,60.180.10,N,
Henri Laurens,(French/ 1885–1954),The Guitar, 1919,1984.209,910,
Bruno Mankowski,(American (born Germany)/ Belin 1902–1990 DeBary/ Florida),AMERICAN FOLKLORE,,69.163.1/2,N,
Judith Shea,(American/ born 1948),Sphinx Relaxed,1983,1995.518ab,N,
Dorothy Doughty,(British/ 1893–1963),Bird (female mockingbird),1942,63.214.2,N,
Margaret Hoard,(American/ 1880–1944),Eve,1914,19.34,N,
Malvina Cornell Hoffman,(American/ New York 1885–1966 New York),Mask of Anna Pavlova,1924,35.107,N,
Gaston Lachaise,(American (born France) 1882–1935),Lachaise's Mother Resting (Marie Lachaise in Armchair), 1912,68.91.8,N,
Yaacov Agam,(Israeli (born Palestine) 1928),Untitled, 1960s,1991.402.2,N,
Sue Fuller,(American/ Pittsburgh/ Pennsylvania 1914–2006 Southampton/ New York),String Composition No. 50,1952–53,55.105,N,
Red Grooms,(American/ born Nashville/ Tennessee/ 1937),Deco Tango,1962–96,1999.229,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),SOUTHERN RAILWAY CENTENNIAL,1930,31.17,N,
Pablo Gargallo,(Spanish/ Maella 1881–1934 Reus),A Cock,1930,34.69,N,
Lino Tagliapietra,(Italian/ born Murano 1934),"Elmo Dogale",1990,2002.583a/ b,N,
Albert Stewart,(American (born England)/ London 1900–1965),Silver King,1927,38.18,N,
Herzl Emanuel,(American/ 1914–2002),Savage Head,1939,43.45.1,N,
Suzanne Silvercruys,(American/ 1898–1973),John Buchan/ Lord Tweedsmuir (1875-1940),1938,39.139,N,
Viktor Schreckengost,(American/ Sebring/ Ohio 1906–2008 Cleveland/ Ohio),Shadrach/ Meshach/ Abed Nego,1939,42.92ab,N,
Alberto Giacometti,(Swiss/ Borgonovo 1901–1966 Chur),Head of Diego,1950,1999.363.23,N,
Willard Boepple,(American/ born 1945),Eleanor at 7:15,1977,1978.567.5,N,
Worden Day,(American/ Columbus/ Ohio 1916–1986 Montclair/ New Jersey),Broken Moon Suit,1982,1986.271,N,
Dorothy Doughty,(British/ 1893–1963),Orange blossoms,1942,63.214.9,N,
Jay S. Willis,(American/ born 1940),Al-1-1/2,1972,1979.207,N,
Karl-Heinz Droste,(German/ Benneckenstein 1931–2005 Berlin-Charlottenburg),Vadasa I,1960,63.78ab,N,
Louise Bourgeois,(American/ Paris 1911–2010 New York),Eyes,1982,1986.397,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),EDWARD AND ELIZABETH ROBINSON,,55.19.1/2,N,
Gaston Lachaise,(American (born France) 1882–1935),Standing Woman,1917,63.200.12,N,
Ross Bleckner,(American/ born New York/ 1949),Untitled,1994,1995.42c,N,
Katrin Sigurdardottir,(Icelandic/ born Reykjavik 1967),Boiserie,2010,2011.186.1–.82,N,
Dorothy Doughty,(British/ 1893–1963),Bird (female goldfinch),1936,60.180.6,N,
Seymour Lipton,(American/ New York 1903–1986 Locust Valley/ New York),Catacombs,1968,1986.276.3,N,
John Ahearn,(American/ born Binghamton/ New York/ 1951),Clown,1999,2001.534,N,
Pablo Picasso,(Spanish/ Malaga 1881–1973 Mougins/ France ),Arm,1951,1992.178,N,
Mahonri Mackintosh Young,(American/ Salt Lake City/ Utah 1877–1957 Norwalk/ Connecticut),RIGGERS; RIVETERS,1945,45.31.1/2,N,
Gaston Lachaise,(American (born France) 1882–1935),Female Torso, 1924,1984.433.33,N,
David Smith,(American/ Decatur/ Indiana 1906–1965 Bennington/ Vermont),Song of the Landscape,1950,2006.32.58,N,
Dorothy Doughty,(British/ 1893–1963),Plants (Mexican feijoa),1949,63.214.6,N,
Robert Smithson,(American/ Passaic/ New Jersey 1938–1973 Amarillo/ Texas),Three Mirror Vortex,1965,1981.501a–e,N,
Paul Schwieder,(Canadian/ born Saskatoon/ Saskatchewan/ 1963),"Faster",2002,2002.524,N,
Jacques Lipchitz,(American (born Lithuania)/ Druskininkai 1891–1973 Capri),Marsden Hartley (1877-1943), 1942,42.142,N,
Richard Hunt,(American/ born Chicago/ Illinois/ 1935),Peregrine Forms,1965,1970.39,N,
Reuben Nakian,(American/ College Point/ New York 1897–1986 Stamford/ Connecticut),Leda and the Swan,1959,2000.198,N,
Horst Antes,(German/ born 1936),The Head,1979,1991.478,N,
Carl Walters,(American/ Fort Madison/ Iowa 1883–1955 Saugerties/ New York),Cat in Tall Grass,1939,42.183,N,
Peter Reginato,(American/ born 1945),The Diapason,1970,1979.558,N,
Angela Conner,(British/ born 1935),Portrait Bust of Philippe de Montebello,2009,2009.239,On view,
Josephine Meckseper,(German/ Lilienthal 1964),Blow Up (Michelli),2006,2014.297a–w,N,
Knud Carl Edvard Kyhn,(Danish/ 1880–1961),Statuette,1922–27,29.125.1,N,
Jean Arp,(French (born Germany)/ Strasbourg 1886–1966 Basel),Fruit Agressif,1965–66,1997.519a/ b,N,
Lotti Hahn, ,Doll,1914–32,1987.133.5,N,
Séraphin Soudbinine,(French (born Russia)/ Nijni- Novgorod 1870–1944),Sculpture,1928 ?,2013.245.24,N,
Anna Hyatt Huntington,(American/ Cambridge/ Massachusetts 1876–1973 Redding/ Connecticut),Jeton,1916,16.24.1,N,
Dorothy Doughty,(British/ 1893–1963),Bird (female bluebird),1937,60.180.4,N,
Jean Dunand,(French (born Switzerland)/ Lancy 1877–1942 Paris),Cobra, 1919,1970.198.8,N,
Donald Judd,(American/ Excelsior Springs/ Missouri 1928–1994 Marfa/ Texas),Untitled,1981,1985.431a-d,924,
Jay Musler,(American/ born Sacramento/ California/ 1949),Mask House,1987,1998.285.2ab,N,
Charles Rudy,(American/ York/ Pennsylvania 1904–1986 Doylestown/ Pennsylvania),The Letter,1945,66.6,N,
Gaston Lachaise,(American (born France) 1882–1935),Head of a Woman,1918;  cast 1923 or after,1998.280.2,N,
Joan Miró,(Spanish/ Barcelona 1893–1983 Palma de Mallorca),Woman,1949,2002.456.122,N,
James Earle Fraser,(American/ Winona/ Minnesota 1876–1953 Westport/ Connecticut),Yale University Memorial Prize to Henry Elias Howland,,17.41.1/2,N,
Pol Bury,(Belgian/ Haine-Saint-Pierre 1922–2005 Paris),Rods on Round Background,1963,1981.167,N,
Cecil Howard,(American (born Canada) 1888–1956),PEACE IS LIFE / WAR IS DEATH,1950,50.215.1,N,
Saul Baizerman,(American/ 1889–1957),Coal Man,1933–38,1986.72.3,N,
Seymour Lipton,(American/ New York 1903–1986 Locust Valley/ New York),Prayer,1978,1986.276.5,N,
Aristide Maillol,(French/ Banyuls-sur-Mer 1861–1944 Perpignan ),Study for "Action in Chains", 1905,1992.209.1,N,
Magdalena Abakanowicz,(Polish/ 1930),Great Ursa,1987,1997.126a–e,N,
Royal Copenhagen Porcelain Manufactory, ,Faun and Nymph,1909,23.114.2,N,
John Gregory,(American (born England)/ London 1879–1958 New York),BETROTHAL,1939,39.150.1/2,N,
Steven Montgomery,(American/ born Detroit/ Michigan/ 1954),Standard Emission,1998,1998.286,N,
Robert Murray,(Canadian/ born 1936),Mesa,1965,1983.499,N,
Steve Currie,(American/ born 1954),Barge,1987,1988.118,N,
Mateo Hernandez,(Spanish/ 1885–1949),Javanese Panther,1922–25,35.144,N,
Robert Arneson,(American/ Benica/ California 1930–1992 Benica/ California),Mother Dürer,1979,2000.649a/b,N,
George Dudding,(American/ born 1953),One by One,1987,1988.7.2ab,N,
David Nash,(British/ born 1945),Cracking Box,1984,1987.209.1,N,
Alexander Liberman,(American (born Ukraine)/ Kiev 1912–1999 Miami/ Florida),Oracle I,1963,1975.424.2,N,
Louise Bourgeois,(American/ Paris 1911–2010 New York),Untitled,1994,1995.42d,N,
Roy Lichtenstein,(American/ New York 1923–1997 New York),Galatea,1990,2003.597,N,
Norman Bel Geddes,(American/ Adrian/ Michigan 1893–1958 New York),Medal Commemorating the 25th Anniversary of General Motors,1933,33.150.1/2,N,
Dorothy Doughty,(British/ 1893–1963),Bird (male bluebird),1937,60.180.3,N,
Chaim Gross,(American (born Austria)/ Wolow 1904–1991 Provincetown/ Massachusetts),East Side Girl,1928,1982.508,N,
Auguste Rodin,(French/ Paris 1840–1917 Meudon),Gustav Mahler,1909,1999.363.73,904,
William Zorach,(American (born Lithuania)/ Jurbarkas (Eurburg) 1889–1966 Bath/ Maine),Reclining Figure,1941,1994.341.3,N,
Alexander Calder,(American/ Philadelphia/ Pennsylvania 1898–1976 New York),Red Gongs,1950,55.181.1a-f,N,
Jo Davidson,(American/ 1883–1952),Portrait of Lady Facing Left,1922,1981.494,N,
Manuel Rivera,(Spanish/ 1927–1995),Metamorphosis (Desire),1961,2002.456.124,N,
Claudette Schreuders,(South African/ born Pretoria/ 1973),Two Hands,2010,2012.104,N,
Gaston Lachaise,(American (born France) 1882–1935),Scofield Thayer,1923;  cast 1924,1984.433.30,N,
Lorna Simpson,(American/ born Brooklyn/ New York/ 1960),Untitled,1994,1995.42i-k,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),Indian Hunter,1914; cast probably 1914–16,48.149.28,N,
